md5:0418e4ed1e6efdac22e0251461d4455f,counterbalance,0
md5:0418e4ed1e6efdac22e0251461d4455f,status,1
md5:74c9db4d34d63cdc1958ffa328b5cf7e,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:74c9db4d34d63cdc1958ffa328b5cf7e,condition,380
md5:74c9db4d34d63cdc1958ffa328b5cf7e,counterbalance,0
md5:74c9db4d34d63cdc1958ffa328b5cf7e,status,3
md5:541274a224f371df07ee4e15fa8c10c0,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:541274a224f371df07ee4e15fa8c10c0,condition,752
md5:541274a224f371df07ee4e15fa8c10c0,counterbalance,0
md5:541274a224f371df07ee4e15fa8c10c0,status,1
md5:9304717ff8e89d6e8d9665043d3b8c19,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:9304717ff8e89d6e8d9665043d3b8c19,condition,903
md5:9304717ff8e89d6e8d9665043d3b8c19,counterbalance,0
md5:9304717ff8e89d6e8d9665043d3b8c19,status,1
md5:2b4386cbdecbf8d1ce9b3b1166dd8683,browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0
md5:2b4386cbdecbf8d1ce9b3b1166dd8683,condition,48
md5:2b4386cbdecbf8d1ce9b3b1166dd8683,counterbalance,0
md5:2b4386cbdecbf8d1ce9b3b1166dd8683,status,3
md5:029d5805189453081ff13dc6e1f13de0,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:029d5805189453081ff13dc6e1f13de0,condition,917
md5:029d5805189453081ff13dc6e1f13de0,counterbalance,0
md5:029d5805189453081ff13dc6e1f13de0,status,3
md5:fc9adc5af3b3f0bd3164a7633f075b26,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
md5:fc9adc5af3b3f0bd3164a7633f075b26,condition,579
